"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTF2",2.97267529349701e-08,0.393143606859938,0.463,0.24,0.000964187231445755
"MOK",2.98038995643596e-08,0.30221544747146,0.36,0.165,0.000966689482370005
"PPP2R4",2.98921080908492e-08,0.320065412222125,0.36,0.167,0.000969550525926693
"EIF3J-AS1",2.99774840634683e-08,0.539145543319959,0.286,0.121,0.000972319695598593
"LRRC17",3.00622041652238e-08,0.446866987553971,0.394,0.197,0.000975067592099033
"SCYL1",3.04554689752487e-08,0.407217561748776,0.389,0.183,0.000987823136212192
"ANKRD17",3.08971052033318e-08,0.561967234639455,0.635,0.398,0.00100214760727007
"C15orf40",3.09946787185408e-08,0.481130460447214,0.345,0.159,0.00100531240423587
"STAT5B",3.13365174511213e-08,0.385304888721651,0.448,0.226,0.00101639994352712
"UIMC1",3.13556599896815e-08,0.452338994571857,0.409,0.204,0.00101702083176532
"NRP1",3.16948372233897e-08,0.397772049759486,0.502,0.273,0.00102802204534064
"HLCS",3.18358270514075e-08,0.647136016675398,0.32,0.147,0.0010325950504124
"RBMS3",3.2034026664673e-08,0.510086297352335,0.64,0.397,0.00103902365486867
"SMARCA4",3.22866764174951e-08,0.308045310179409,0.483,0.261,0.00104721834960145
"NFX1",3.26067208525076e-08,0.573781841055298,0.374,0.185,0.00105759899085108
"ENG",3.30051132437023e-08,0.346355481635835,0.576,0.332,0.00107052084805948
"FKBP10",3.34709935685676e-08,0.430497314401057,0.773,0.507,0.00108563167639649
